"id","title","category","description","credits","media","type","preview","gradient","order","createdAt","tags","displayOrder"
"1","Honeywell","Ad Film","A high-impact ad film showcasing Honeywell's innovative smart home solutions with cinematic visuals and compelling storytelling.","Direction & Post-production — InDiiServe Creative Studio","/uploads/portfolio/honeywell_1.mp4","video","/uploads/portfolio/honeywell_1.mp4","from-[#667eea] to-[#764ba2]","1",2026-02-16T10:30:00.000Z,"[]","0"
"2","Rapidbox","Branding","Complete brand identity and promotional video for Rapidbox — a next-gen logistics solution built for speed and reliability.","Brand Strategy, Motion Design — InDiiServe","/uploads/portfolio/Rapidbox Work_1.mp4","video","/uploads/portfolio/Rapidbox Work_1.mp4","from-[#f093fb] to-[#f5576c]","2",2026-02-16T10:30:01.000Z,"[]","1"
"3","Fevicol Pod","Creative Campaign","A playful and engaging ad concept for Fevicol, blending humor with product storytelling in a snackable format.","Concept & Editing — InDiiServe Creative","/uploads/portfolio/fevicol pod_1.mp4","video","/uploads/portfolio/fevicol pod_1.mp4","from-[#4facfe] to-[#00f2fe]","3",2026-02-16T10:30:02.000Z,"[]","2"
"4","Fashion Film I","Fashion","A cinematic fashion film capturing movement, texture, and styling with editorial-grade visuals.","Direction, Cinematography & Color Grade — InDiiServe","/uploads/portfolio/femalemodel.mp4","video","/uploads/portfolio/femalemodel.mp4","from-[#434343] to-[#000000]","4",2026-02-16T10:30:03.000Z,"[]","3"
"5","Fashion Film II","Fashion","A continuation of the fashion series with bold transitions and contemporary styling that elevates the brand narrative.","Creative Direction & Edit — InDiiServe","/uploads/portfolio/femalemodel2.mp4","video","/uploads/portfolio/femalemodel2.mp4","from-[#11998e] to-[#38ef7d]","5",2026-02-16T10:30:04.000Z,"[]","4"
"6","Fashion Film III","Fashion","The final piece in the trilogy — a fluid blend of movement and attitude captured through a modern lens.","Full Production — InDiiServe","/uploads/portfolio/femalemodel3.mp4","video","/uploads/portfolio/femalemodel3.mp4","from-[#6a11cb] to-[#2575fc]","6",2026-02-16T10:30:05.000Z,"[]","5"
"7","Treadfi","FinTech","Brand video for Treadfi, a fintech platform, featuring sleek UI animations and data-driven storytelling.","Motion Graphics & Brand Film — InDiiServe","/uploads/portfolio/treadfi.mp4","video","/uploads/portfolio/treadfi.mp4",,"7",2026-02-16T10:30:06.000Z,"[]","6"
"8","SaaS Platform","SaaS","A polished product demo video for a SaaS platform, highlighting key features through elegant screen recordings and motion design.","UI Animation & Edit — InDiiServe","/uploads/portfolio/saas2_1.mp4","video","/uploads/portfolio/saas2_1.mp4",,"8",2026-02-16T10:30:07.000Z,"[]","7"
"9","Saree Collection","Product","A visually rich product showcase for a premium saree collection, blending traditional elegance with modern edit styles.","Videography & Post-production — InDiiServe","/uploads/portfolio/saree.mp4","video","/uploads/portfolio/saree.mp4",,"9",2026-02-16T10:30:08.000Z,"[]","8"
"10","Ad Creative","Advertising","A quick-paced, attention-grabbing ad edit designed for social media engagement and conversion.","Concept & Edit — InDiiServe","/uploads/portfolio/Ad edit_1.mp4","video","/uploads/portfolio/Ad edit_1.mp4",,"10",2026-02-16T10:30:09.000Z,"[]","9"
"11","Illustration Motion","Design","An animated illustration bringing characters and concepts to life with playful motion and vibrant color palettes.","Illustration & Animation — InDiiServe Design","/uploads/portfolio/illustrationgif.gif","image","/uploads/portfolio/illustrationgif.gif",,"11",2026-02-16T10:30:10.000Z,"[]","10"
"12","Kicho Branding","Product Design","Clean and minimal product photography and branding for Kicho — a premium lifestyle brand.","Photography & Brand Design — InDiiServe","/uploads/portfolio/kicho.jpeg","image","/uploads/portfolio/kicho.jpeg",,"12",2026-02-16T10:30:11.000Z,"[]","11"
"13","Kicho Collection","Product Design","Extended product line photography with consistent branding language and visual identity.","Art Direction & Photography — InDiiServe","/uploads/portfolio/kicho2.jpeg","image","/uploads/portfolio/kicho2.jpeg",,"13",2026-02-16T10:30:12.000Z,"[]","12"
"14","Fishy Business","Branding","A bold and quirky brand identity for a seafood startup, featuring playful graphics and strong typography.","Brand Identity & Packaging — InDiiServe","/uploads/portfolio/fishy business1.png","image","/uploads/portfolio/fishy business1.png",,"14",2026-02-16T10:30:13.000Z,"[]","13"
"15","App Interface","UI/UX","Sleek mobile app interface designs showcased through realistic iPhone mockups, highlighting clean navigation and modern aesthetics.","UI/UX Design — InDiiServe Digital","/uploads/portfolio/iphones.jpeg","image","/uploads/portfolio/iphones.jpeg",,"15",2026-02-16T10:30:14.000Z,"[]","14"
"16","Card Design","Print","Premium business card designs featuring modern layouts, foil finishes, and brand-consistent color palettes.","Print Design — InDiiServe","/uploads/portfolio/card.jpeg","image","/uploads/portfolio/card.jpeg",,"16",2026-02-16T10:30:15.000Z,"[]","15"
"17","Card Design II","Print","A second iteration of the card series exploring different materials and vertical layouts.","Print Design — InDiiServe","/uploads/portfolio/card2.jpeg","image","/uploads/portfolio/card2.jpeg",,"17",2026-02-16T10:30:16.000Z,"[]","16"
"18","Rifle Gear","Product","High-end product photography for a tactical gear brand with dramatic lighting and precision composition.","Product Photography — InDiiServe","/uploads/portfolio/rifle.jpeg","image","/uploads/portfolio/rifle.jpeg",,"18",2026-02-16T10:30:17.000Z,"[]","17"
"19","TV Remote Concept","Product Design","A concept rendering of a next-gen TV remote with minimalist industrial design and ergonomic form.","3D Rendering & Concept — InDiiServe","/uploads/portfolio/tvremote.jpeg","image","/uploads/portfolio/tvremote.jpeg",,"19",2026-02-16T10:30:18.000Z,"[]","18"